policy_id,driver_age,vehicle_age,vehicle_type,annual_mileage,accident_history,location_risk_score,policy_duration_years,previous_claims,credit_score,claim_cost
102,79,14,Convertible,12421,2,0.82,2,0,708,2083
103,53,14,Sedan,12047,0,0.39,3,0,697,1224
104,31,7,Truck,18554,1,0.4,7,0,680,1004
105,48,15,Hatchback,29852,0,0.24,4,0,664,1590
106,65,18,Truck,10588,1,0.69,6,0,650,1329
107,32,10,SUV,28771,0,0.74,8,0,621,789
108,25,1,Hatchback,20260,0,0.22,1,0,602,1135
109,31,16,Hatchback,14316,1,0.33,6,0,669,1710
110,40,15,SUV,14849,0,0.24,1,0,670,1692
111,77,14,Hatchback,14945,1,0.77,8,0,657,2163
112,74,12,Sedan,17794,0,0.29,4,0,583,1471
113,79,14,Truck,24786,0,0.24,5,0,517,1129
114,57,3,Truck,9332,0,0.16,2,0,653,622
115,38,15,SUV,20329,1,0.85,3,0,558,1499
116,33,11,Sedan,20698,1,0.21,7,0,666,1874
117,62,3,Hatchback,19841,0,0.13,7,0,747,1599
118,35,2,Truck,21548,2,0.16,8,0,667,2427
119,64,16,Truck,11989,0,0.43,3,0,628,462
120,70,17,Truck,23340,0,0.64,2,2,598,3248
121,41,17,Truck,8860,0,0.46,2,0,621,1333
122,43,16,Convertible,24159,0,0.51,6,0,648,899
123,42,11,SUV,6768,0,0.93,2,0,704,1078
124,77,3,Hatchback,18743,2,0.78,4,0,657,1501
125,77,11,Hatchback,11226,0,0.41,9,1,635,2358
126,77,19,SUV,17718,1,0.24,3,0,684,1462
127,62,14,Sedan,16888,0,0.77,1,0,724,1897
128,58,15,SUV,11621,1,0.62,2,0,666,2384
129,46,4,Truck,22166,1,0.97,7,0,660,1337
130,32,14,Truck,29204,2,0.92,9,0,567,1205
131,62,16,SUV,5140,1,0.61,9,0,582,1038
132,18,17,SUV,22103,0,0.16,4,0,576,2316
133,42,4,Hatchback,6650,0,0.13,8,0,640,605
134,24,12,Hatchback,12885,0,0.85,1,0,608,722
135,26,18,Convertible,24957,0,0.73,6,0,625,1513
136,41,12,Convertible,19264,2,0.6,8,0,608,2379
137,18,17,Truck,6015,0,0.72,2,0,612,11
138,61,13,Convertible,25767,1,0.59,8,0,557,654
139,25,3,Convertible,19690,3,0.62,4,0,661,3280
140,41,3,Sedan,13534,1,0.3,2,0,685,1260
141,28,19,SUV,11292,0,0.51,4,0,653,1025
142,68,19,Hatchback,27737,0,0.11,8,1,668,1899
143,34,18,Convertible,15775,0,0.7,4,1,673,1533
144,25,12,Hatchback,24504,0,0.4,8,0,671,638
145,52,11,Convertible,21371,1,0.69,7,0,692,1306
146,52,6,Convertible,23207,1,0.93,5,1,710,2019
147,50,11,Truck,25810,1,0.63,8,0,729,1638
148,76,3,Sedan,21394,2,0.4,2,0,554,3018
149,22,1,SUV,20547,1,0.29,3,1,673,3035
150,59,1,SUV,25988,2,0.33,4,0,589,2913
151,56,4,Truck,14305,0,0.99,5,0,720,0
152,75,9,Truck,13813,1,0.65,5,0,653,694
153,58,9,SUV,5900,1,0.5,1,0,664,2025
154,45,8,SUV,8747,0,0.31,1,0,656,1650
155,24,12,Sedan,17256,1,0.8,1,0,661,365
156,26,6,Convertible,22855,1,0.45,5,0,732,1618
157,25,4,Sedan,28245,1,0.37,2,1,712,3157
158,29,9,SUV,8103,1,0.3,3,0,730,2163
159,51,9,Convertible,13518,1,0.27,8,0,640,1558
160,50,5,SUV,5073,1,0.35,8,0,544,1991
161,65,18,Sedan,21634,0,0.66,2,0,687,1143
162,72,7,Sedan,7497,0,0.32,8,1,594,1774
163,40,0,Sedan,26012,0,0.15,9,0,632,1935
164,79,16,Convertible,13487,0,0.42,6,1,647,1425
165,41,6,Hatchback,21681,0,0.63,1,0,650,1136
166,54,13,Hatchback,29877,1,0.15,3,1,682,3207
167,52,16,SUV,17799,0,0.51,5,0,604,767
168,61,8,Convertible,11517,1,0.15,3,1,681,2253
169,57,16,Truck,16816,1,0.79,3,0,640,1940
170,39,4,Hatchback,18405,1,0.88,9,1,780,1966
171,44,19,Convertible,23018,0,0.97,5,0,570,352
172,52,7,Convertible,26389,1,0.72,8,1,656,2836
173,18,5,Hatchback,27413,1,0.67,7,0,681,2630
174,52,10,Convertible,13244,2,0.72,4,0,629,2027
175,54,18,Convertible,10615,1,0.87,3,2,621,3693
176,64,3,Hatchback,15468,1,0.83,3,0,716,1494
177,31,17,Sedan,15879,0,0.49,2,1,692,2099
178,20,0,SUV,24228,0,0.69,5,0,610,433
179,18,12,Truck,18078,1,0.25,2,0,576,2614
180,22,13,SUV,27007,2,0.73,2,0,679,2163
181,43,0,Sedan,9590,2,0.76,4,2,666,4782
182,72,10,Sedan,26332,0,0.82,6,0,679,400
183,31,16,Convertible,15910,2,0.84,6,0,643,1787
184,56,3,SUV,17127,1,0.5,8,1,693,3539
185,44,11,Sedan,26574,1,0.91,6,0,730,1346
186,26,9,SUV,12884,0,0.98,6,0,727,0
187,32,5,Sedan,27716,0,0.98,4,1,609,1682
188,32,0,Truck,5662,1,0.63,5,0,775,1162
189,43,6,Sedan,13199,1,0.6,7,1,683,1923
190,59,15,SUV,27859,1,0.51,9,0,579,2302
191,77,13,Convertible,24471,0,0.37,4,0,672,583
192,30,19,SUV,26145,0,0.4,1,0,661,1265
193,68,19,Hatchback,5668,0,0.29,6,1,644,2712
194,49,5,SUV,14477,1,0.96,2,1,640,2436
195,56,4,Truck,25004,0,0.66,7,0,685,782
196,66,17,Truck,5160,0,0.94,6,2,685,2458
197,69,14,Truck,15590,0,0.45,9,0,621,1436
198,78,5,Sedan,16437,0,0.37,6,0,623,862
199,49,18,Truck,11460,0,0.22,6,0,621,1385
200,21,0,SUV,21401,1,0.37,4,1,641,3886
201,47,0,Convertible,7533,0,0.9,9,0,694,0
202,54,12,Truck,27894,0,0.62,3,0,710,366
203,40,2,SUV,9446,0,0.51,1,0,639,914
204,56,9,Sedan,18159,2,0.61,8,0,705,2378
205,62,2,Sedan,10554,0,0.9,8,0,672,723
206,32,8,Convertible,20268,0,0.27,1,0,657,1658
207,60,7,Convertible,15509,2,0.97,9,1,743,2779
208,46,2,SUV,7918,0,0.7,2,0,666,711
209,53,12,Convertible,18379,1,0.87,6,1,643,3019
210,30,5,Convertible,21699,0,0.57,9,1,692,2112
211,49,12,Sedan,19132,0,0.31,6,0,588,167
212,24,19,SUV,26216,0,0.61,7,0,639,31
213,76,19,Convertible,23595,2,0.16,9,1,663,3739
214,68,11,SUV,12069,0,0.87,5,0,686,936
215,39,12,Truck,13511,1,0.68,1,2,662,4112
216,45,1,Sedan,26517,0,0.35,9,0,586,513
217,19,15,Sedan,11422,0,0.35,7,0,606,1308
218,59,5,Sedan,9527,0,0.91,8,0,628,535
219,62,18,Hatchback,24099,1,0.86,2,0,662,738
220,79,12,SUV,20622,1,0.79,5,0,585,1243
221,74,16,Truck,11665,0,0.47,8,1,720,1096
222,70,8,Convertible,12107,1,0.89,7,1,666,1840
223,23,16,Truck,20531,0,0.32,7,0,664,66
224,45,1,SUV,10132,1,0.12,4,0,641,1417
225,45,18,Sedan,15471,0,0.49,2,0,578,1685
226,61,18,Hatchback,13662,1,0.93,3,0,655,1009
227,61,6,SUV,11782,0,0.61,9,0,687,24
228,37,9,SUV,23991,1,0.31,4,2,642,4620
229,47,9,Convertible,24716,1,0.69,1,0,703,1577
230,79,19,Truck,20993,1,0.77,4,0,647,1470
231,28,8,Truck,26081,2,0.6,8,0,685,1880
232,75,16,Convertible,19590,1,0.86,8,0,644,1590
233,72,14,Hatchback,11745,1,0.63,2,2,669,3356
234,45,1,Sedan,10634,0,0.19,4,0,693,1517
235,42,3,Sedan,17567,0,0.83,7,0,596,925
236,56,18,Hatchback,11260,0,0.23,8,0,682,1076
237,79,16,Convertible,19945,0,0.89,1,1,703,917
238,50,4,SUV,22569,0,0.57,8,0,760,1347
239,18,6,Truck,28379,0,0.76,1,1,654,1460
240,74,17,SUV,11109,0,0.97,6,0,545,707
241,44,6,Truck,27825,1,0.49,5,0,561,1973
242,79,16,SUV,5915,0,0.51,7,1,606,1824
243,74,6,Convertible,28848,0,0.84,6,0,714,1556
244,69,3,Convertible,23001,2,0.2,1,1,760,3896
245,30,7,Hatchback,18669,3,0.12,6,0,630,3261
246,58,12,SUV,14875,0,0.64,3,0,653,1389
247,20,3,SUV,19853,0,0.25,6,1,521,3233
248,56,5,Hatchback,7425,0,0.33,7,1,683,1155
249,23,4,Hatchback,5425,1,0.98,6,0,657,440
250,25,11,Convertible,6787,1,0.69,9,0,637,1043
251,44,3,Convertible,7584,0,0.87,9,1,602,2700
252,26,8,SUV,9648,3,0.91,8,0,632,2767
253,79,3,Convertible,21552,1,0.21,5,0,583,2670
254,54,18,Convertible,5514,1,0.93,3,0,607,1317
255,50,13,SUV,8435,1,0.88,4,0,586,724
256,68,4,Hatchback,9525,2,0.14,8,0,599,3219
257,59,17,SUV,24000,0,0.98,9,0,592,715
258,61,9,Sedan,15569,1,0.51,8,1,679,2384
259,41,18,SUV,8204,0,0.98,3,0,593,224
260,32,11,Sedan,12765,2,0.84,7,0,647,1558
261,76,17,SUV,15696,0,0.5,8,1,595,1928
262,71,16,Sedan,29928,0,0.56,3,1,597,2307
263,49,10,Sedan,21142,1,0.35,1,1,595,2522
264,49,2,SUV,19679,0,0.54,7,0,699,1014
265,41,16,Convertible,6117,0,0.2,3,0,641,1289
266,58,0,Truck,6405,0,0.92,1,1,613,1564
267,69,14,Convertible,17131,2,0.74,7,1,600,2586
268,66,8,Sedan,20097,0,0.82,7,0,583,879
269,79,14,SUV,10414,2,0.58,4,1,614,3174
270,66,2,SUV,11341,0,0.21,2,0,578,1018
271,75,18,SUV,9174,3,0.58,5,1,628,4331
272,69,12,SUV,22061,1,0.4,9,0,615,1915
273,29,11,Truck,13742,2,0.11,6,0,611,2860
274,79,19,Hatchback,5213,1,0.65,9,0,712,1837
275,56,0,Sedan,6666,2,0.87,1,0,638,1885
276,19,16,Truck,18276,0,0.74,2,0,641,0
277,20,12,Convertible,14085,0,0.3,6,0,714,1565
278,66,0,Hatchback,25638,0,0.84,3,0,582,272
279,54,9,Hatchback,17268,0,0.38,2,0,626,851
280,66,14,SUV,24170,0,0.3,6,0,573,733
281,73,6,Truck,29597,1,0.97,7,0,654,720
282,34,17,Convertible,27244,0,0.11,4,0,680,1943
283,76,15,SUV,6261,2,0.25,9,1,529,3400
284,66,13,SUV,22556,0,0.52,3,1,693,1599
285,19,17,Sedan,26264,0,0.25,2,0,666,848
286,19,6,Hatchback,18890,0,0.25,5,0,652,1221
287,45,16,Convertible,23438,1,0.67,9,0,588,979
288,71,17,Hatchback,18544,1,0.84,1,0,689,510
289,40,11,Truck,15084,3,0.7,6,0,734,2414
290,54,7,Sedan,20139,0,0.19,8,0,630,923
291,49,1,SUV,24199,0,0.91,7,0,634,100
292,50,6,Sedan,26058,1,0.93,6,0,651,2300
293,18,3,SUV,21121,0,0.35,3,0,630,2149
294,36,17,Sedan,10196,1,0.6,9,0,641,2115
295,79,5,SUV,9584,1,0.54,5,0,701,1971
296,19,8,Hatchback,10021,0,0.7,1,0,647,804
297,70,8,Hatchback,27614,0,0.98,9,0,665,1007
298,61,13,Hatchback,15182,0,0.99,9,1,752,1607
299,43,7,Hatchback,17509,0,0.56,1,0,723,347
300,49,18,Sedan,15652,1,0.18,7,1,598,4218
301,23,2,SUV,7631,1,0.4,9,0,737,2195
302,49,17,Hatchback,11345,0,0.47,2,0,719,1591
303,72,4,Sedan,13096,1,0.58,6,0,725,2446
304,21,13,SUV,19906,0,0.96,1,0,619,0
305,72,3,Sedan,11300,0,0.34,3,0,661,546
306,28,6,Hatchback,28732,0,0.58,5,1,630,1832
307,73,19,Truck,10844,0,0.36,7,0,656,1233
308,76,11,Sedan,23560,0,0.93,5,0,738,859
309,34,1,Hatchback,10362,0,0.99,8,1,657,1486
310,55,10,Convertible,13097,0,0.88,5,0,564,1092
311,41,13,SUV,10599,1,0.4,6,0,631,2232
312,22,15,Hatchback,19605,1,0.35,2,0,617,2075
313,69,19,Convertible,9258,2,0.49,5,1,739,3513
314,51,5,Sedan,25503,1,0.77,7,0,609,1505
315,23,3,Sedan,11640,0,0.11,1,0,630,1353
316,39,14,Convertible,9288,0,1.0,9,1,631,2010
317,28,0,Convertible,22261,2,0.9,9,0,730,1346
318,65,6,SUV,25869,0,0.12,8,0,698,1753
319,33,11,Sedan,23928,0,0.44,9,0,678,59
320,50,9,Convertible,10059,0,0.72,5,2,662,2576
321,26,4,Truck,20141,0,0.32,7,0,661,1295
322,77,11,Truck,28548,0,0.23,1,0,654,682
323,76,17,Convertible,7600,0,0.67,7,0,753,684
324,23,9,SUV,20902,1,0.91,9,0,587,947
325,33,5,Sedan,24912,1,0.96,3,1,512,2653
326,46,11,Truck,23792,1,0.11,9,0,672,2039
327,20,6,Convertible,9860,0,0.89,5,0,720,410
328,37,17,Convertible,15165,2,0.6,9,0,659,2882
329,77,1,Hatchback,25332,0,0.31,8,1,551,2415
330,76,9,Convertible,7334,1,0.66,7,0,687,1715
331,53,14,SUV,5767,1,1.0,6,1,597,3086
332,36,11,Truck,16737,0,0.35,2,1,586,2779
333,43,16,Hatchback,18372,0,0.35,7,0,601,507
334,20,3,Truck,26267,0,0.73,2,0,570,946
335,36,6,Truck,25590,1,0.14,6,0,660,2192
336,37,8,SUV,27332,0,0.84,6,0,618,1335
337,49,18,Convertible,12085,0,0.69,9,1,583,1203
338,24,6,SUV,5744,0,0.86,4,1,769,1508
339,69,1,Convertible,25558,0,0.31,9,2,623,3306
340,58,5,Hatchback,28582,0,0.86,2,0,653,1160
341,50,17,SUV,23940,3,0.5,5,0,728,3292
342,57,5,SUV,26450,1,0.22,3,2,684,4478
343,56,12,Sedan,29181,0,0.91,6,1,745,1277
344,35,18,SUV,9161,1,0.73,2,0,615,1996
345,57,1,Sedan,18821,1,0.25,9,0,702,2201
346,18,11,Convertible,14586,1,0.32,4,2,675,3928
347,28,14,Convertible,5286,1,0.34,7,0,700,1264
348,45,13,Convertible,8247,1,0.97,5,0,692,1544
349,74,5,Sedan,15794,1,0.9,8,0,611,1476
350,42,17,Convertible,10099,0,0.41,4,0,791,592
351,67,4,Truck,21387,1,0.52,7,0,537,1946
352,40,17,SUV,21061,0,0.36,5,0,607,1493
353,48,2,Sedan,27319,0,0.77,3,1,684,2357
354,47,2,Convertible,5411,1,0.25,8,0,665,2285
355,59,9,Truck,25729,0,0.4,6,0,657,755
356,52,18,SUV,25111,1,0.65,4,0,686,1306
357,24,2,SUV,18798,1,0.89,9,0,608,2425
358,77,11,Convertible,20704,3,0.67,9,0,692,2804
359,33,15,Truck,15109,0,0.95,2,0,644,0
360,43,16,Sedan,6356,1,0.94,9,0,720,588
361,65,6,Convertible,13349,0,0.75,4,0,635,0
362,74,12,SUV,22984,0,0.35,9,0,673,1793
363,69,1,SUV,28541,1,0.71,8,0,682,2516
364,77,3,SUV,10706,1,0.27,3,0,695,2174
365,66,9,Convertible,16681,0,0.4,7,0,652,124
366,19,6,Hatchback,26943,0,0.78,2,0,636,1133
367,18,16,Hatchback,12196,0,0.87,2,0,611,690
368,65,19,Hatchback,26457,0,0.48,4,0,674,1476
369,79,5,Truck,23766,1,0.57,7,0,555,1848
370,29,18,Convertible,18549,0,0.45,4,0,665,190
371,22,4,SUV,21536,0,0.53,2,0,669,1311
372,54,9,Truck,14821,1,0.56,2,1,744,1986
373,49,8,Hatchback,7796,0,0.72,5,0,617,215
374,76,12,Sedan,16073,0,0.78,3,0,659,1069
375,72,18,Truck,12282,1,0.98,3,1,658,2853
376,26,5,Truck,11951,1,0.49,1,0,595,1150
377,58,3,Convertible,24189,0,0.17,3,0,650,576
378,52,2,Truck,9080,1,0.72,4,0,583,1406
379,36,2,Convertible,16662,0,0.55,6,1,698,2961
380,65,3,Sedan,14247,0,0.86,6,0,680,737
381,33,4,SUV,15771,0,0.23,5,0,672,2458
382,20,7,SUV,15957,1,0.68,4,1,618,2752
383,37,15,Hatchback,27234,1,0.51,6,0,721,2061
384,41,2,Hatchback,28746,0,0.48,5,0,596,673
385,71,11,Sedan,6328,0,0.61,1,0,653,320
386,73,7,SUV,17236,0,0.72,2,0,592,329
387,50,12,Hatchback,23776,1,0.87,9,1,641,2634
388,41,3,Truck,8153,0,0.31,4,0,714,1650
389,69,13,Convertible,29576,0,0.36,6,0,674,809
390,28,13,Hatchback,5166,1,0.59,5,3,604,5845
391,66,12,Sedan,19652,0,0.41,2,0,624,1836
392,25,5,SUV,24638,0,0.61,1,0,631,1336
393,53,16,Sedan,26444,0,0.28,1,0,608,1218
394,55,3,Convertible,20233,0,0.38,1,0,664,600
395,57,7,Convertible,6885,0,0.39,6,0,759,1583
396,37,16,Sedan,25752,0,0.99,7,0,622,0
397,79,2,Hatchback,19708,1,0.87,7,0,746,1552
398,52,16,Hatchback,12529,0,0.85,9,0,650,0
399,65,8,SUV,5899,1,0.56,3,1,666,2436
400,79,1,SUV,7248,0,0.52,9,0,663,966
401,42,12,Truck,16455,0,0.16,1,1,565,2718
402,52,19,Truck,8412,1,0.28,2,1,673,3561
403,42,1,SUV,16769,2,0.91,7,0,528,2201
404,46,19,Truck,20947,1,0.57,2,0,660,1358
405,35,10,Sedan,15379,0,0.99,4,1,658,1136
406,63,14,Hatchback,11449,0,0.63,2,1,573,2253
407,35,10,Truck,14411,0,0.44,2,0,653,1212
408,19,2,Truck,8132,1,0.35,1,0,635,1845
409,71,2,Sedan,13155,0,0.93,9,0,642,538
410,52,11,Convertible,13136,3,0.43,3,0,643,4097
411,33,4,SUV,5359,0,0.23,1,0,621,1790
412,78,19,Sedan,11450,0,0.35,6,1,654,1486
413,58,6,Convertible,15231,0,0.68,8,0,693,1084
414,53,6,Sedan,29031,0,0.22,7,0,638,1790
415,50,12,Hatchback,16346,0,0.18,7,1,647,1938
416,21,8,Sedan,29909,2,0.51,2,0,682,2880
417,50,12,Sedan,19852,1,0.18,4,0,763,3450
418,31,11,Hatchback,22114,0,0.45,6,0,640,1113
419,38,12,SUV,12067,1,0.39,2,0,565,1817
420,65,9,Convertible,14689,1,0.45,5,0,605,1626
421,37,0,Truck,22801,1,0.54,5,0,680,1632
422,73,7,SUV,12767,1,0.27,3,0,726,1266
423,25,15,Sedan,29272,0,0.5,2,0,603,15
424,24,12,Truck,8763,0,0.43,7,0,648,1028
425,20,2,Hatchback,11928,0,0.82,8,0,651,462
426,34,2,SUV,27080,2,0.73,4,1,612,3911
427,50,4,Convertible,5878,0,0.89,4,0,727,284
428,65,10,SUV,26866,1,0.7,9,0,708,1669
429,29,6,SUV,24268,0,0.21,4,0,667,1780
430,76,9,Truck,15787,0,0.56,3,0,629,0
431,68,9,Hatchback,23681,0,0.77,1,1,698,1298
432,39,19,Hatchback,13852,0,0.86,3,0,676,214
433,72,1,SUV,16336,0,0.26,5,0,628,1176
434,39,2,Hatchback,18487,1,0.3,2,0,699,1102
435,63,7,Truck,12371,0,0.88,5,1,668,1188
436,47,10,Truck,25369,0,0.54,9,0,567,1134
437,55,12,Convertible,6269,1,0.51,6,0,600,1851
438,55,6,Hatchback,17898,0,0.54,3,0,584,0
439,62,12,Convertible,22678,0,0.26,5,1,702,2157
440,68,1,Sedan,22393,0,0.66,1,0,615,583
441,71,5,Truck,15283,0,0.83,8,0,681,35
442,25,8,SUV,23141,1,0.85,9,1,759,2595
443,44,19,Truck,15156,1,0.13,5,1,690,3403
444,44,1,Sedan,29160,1,0.74,9,0,629,1727
445,51,17,SUV,17835,0,0.18,8,0,613,1406
446,38,15,Hatchback,14383,0,0.97,8,1,635,1883
447,47,11,Hatchback,11578,0,0.53,2,0,599,801
448,50,6,Truck,29564,0,0.8,5,0,593,0
449,45,6,SUV,14245,0,0.66,8,0,610,791
450,64,16,SUV,24225,0,0.96,3,0,677,0
451,50,12,Convertible,10716,0,0.98,1,1,624,1604
452,22,10,Sedan,23788,0,0.35,4,0,639,859
453,77,5,Hatchback,24946,1,0.53,4,0,673,1478
454,78,13,Truck,15014,2,0.55,4,0,686,1966
455,65,5,SUV,22655,0,0.26,4,0,554,1061
456,36,5,Hatchback,29828,0,0.91,9,1,564,1758
457,21,1,Truck,20120,0,0.41,1,0,631,438
458,52,19,Hatchback,7768,0,0.18,9,1,594,2048
459,66,14,Truck,20741,0,0.24,7,0,693,217
460,34,16,Hatchback,14751,0,0.56,5,1,627,2110
461,61,7,Convertible,29185,0,0.89,2,1,740,994
462,45,4,Sedan,13928,0,0.67,4,1,626,1858
463,47,16,Hatchback,11142,0,0.29,4,2,665,3796
464,46,19,Sedan,18187,0,0.37,4,1,617,2803
465,63,0,Hatchback,23312,0,0.98,2,0,674,171
466,70,17,SUV,21257,0,0.15,8,0,675,1701
467,23,14,Convertible,27650,0,0.99,4,0,694,331
468,52,4,Convertible,10413,2,0.92,9,1,643,2260
469,77,6,Sedan,28212,1,0.71,2,0,714,671
470,58,17,SUV,7190,0,0.95,7,0,665,1010
471,54,5,Truck,6002,0,0.24,5,1,618,2857
472,41,4,Convertible,16177,1,0.95,5,1,618,1304
473,46,18,SUV,15114,0,0.29,7,0,686,1413
474,66,9,SUV,28038,0,0.59,4,1,713,2271
475,63,14,Sedan,13094,1,0.54,3,0,594,1192
476,70,9,SUV,27451,0,0.56,9,2,688,2971
477,48,15,SUV,8752,0,0.34,3,1,576,1863
478,52,11,Truck,27584,1,0.8,5,0,619,366
479,77,17,Sedan,25521,1,0.77,2,0,674,843
480,50,0,Sedan,25086,0,0.96,7,1,608,1898
481,69,15,SUV,27327,0,0.56,7,1,723,2001
482,78,5,Truck,9438,0,0.59,5,0,680,1100
483,38,2,Hatchback,9427,1,0.91,8,0,591,199
484,49,1,Convertible,10556,2,0.93,9,0,683,2201
485,40,1,Sedan,13532,1,0.68,4,0,584,1818
486,50,12,Truck,23772,0,0.84,2,1,650,381
